text,sentiment
"I love this product! It's amazing and works perfectly.",positive
"This is terrible. I hate it and it doesn't work at all.",negative
"The quality is okay, nothing special but gets the job done.",neutral
"Excellent service and fast delivery! Highly recommend.",positive
"Poor customer support and slow shipping. Very disappointed.",negative
"Great value for money. Good quality product.",positive
"Not worth the price. Cheap materials and poor construction.",negative
"It's fine, does what it's supposed to do.",neutral
"Outstanding performance and exceeded my expectations!",positive
"Complete waste of money. Don't buy this.",negative
"Average product, meets basic requirements.",neutral
"Fantastic experience! Will definitely buy again.",positive
"Horrible product quality and terrible customer service.",negative
"Decent product, reasonable price for what you get.",neutral
"Absolutely love it! Best purchase I've made.",positive
"Very disappointed with the quality and service.",negative
"Good product overall, minor issues but acceptable.",neutral
"Amazing features and excellent build quality!",positive
"Terrible design and poor functionality.",negative
"Standard product, nothing exceptional but reliable.",neutral 
